"","histname","longname","year","histcode","franchise","so","g"
"339"," Boston Red Sox","1922 Boston Red Sox",1922,"BOS","BOS",448,154
"340"," Chicago Cubs","1922 Chicago Cubs",1922,"CHC","CHC",447,156
"341"," Chicago White Sox","1922 Chicago White Sox",1922,"CHW","CHW",461,155
"342"," Cincinnati Reds","1922 Cincinnati Reds",1922,"CIN","CIN",381,156
"343"," Cleveland Indians","1922 Cleveland Indians",1922,"CLE","CLE",333,155
"344"," Detroit Tigers","1922 Detroit Tigers",1922,"DET","DET",382,155
"345"," Brooklyn Robins","1922 Brooklyn Robins",1922,"BRO","LAD",318,155
"346"," Washington Senators","1922 Washington Senators",1922,"WSH","MIN",447,154
"347"," New York Yankees","1922 New York Yankees",1922,"NYY","NYY",529,154
"348"," Philadelphia Athletics","1922 Philadelphia Athletics",1922,"PHA","OAK",590,155
"349"," Philadelphia Phillies","1922 Philadelphia Phillies",1922,"PHI","PHI",611,154
"350"," Pittsburgh Pirates","1922 Pittsburgh Pirates",1922,"PIT","PIT",326,155
"351"," New York Giants","1922 New York Giants",1922,"NYG","SFG",421,156
"352"," St. Louis Cardinals","1922 St. Louis Cardinals",1922,"STL","STL",425,154
"353"," Boston Braves","1923 Boston Braves",1923,"BSN","ATL",404,155
"354"," St. Louis Browns","1923 St. Louis Browns",1923,"SLB","BAL",425,154
"355"," Boston Red Sox","1923 Boston Red Sox",1923,"BOS","BOS",481,154
"356"," Chicago Cubs","1923 Chicago Cubs",1923,"CHC","CHC",485,154
"357"," Chicago White Sox","1923 Chicago White Sox",1923,"CHW","CHW",454,156
"358"," Cincinnati Reds","1923 Cincinnati Reds",1923,"CIN","CIN",367,154
"359"," Cleveland Indians","1923 Cleveland Indians",1923,"CLE","CLE",381,153
"360"," Detroit Tigers","1923 Detroit Tigers",1923,"DET","DET",384,155
"361"," Brooklyn Robins","1923 Brooklyn Robins",1923,"BRO","LAD",382,155
"362"," Washington Senators","1923 Washington Senators",1923,"WSH","MIN",450,155
"363"," New York Yankees","1923 New York Yankees",1923,"NYY","NYY",515,152
"364"," Philadelphia Athletics","1923 Philadelphia Athletics",1923,"PHA","OAK",523,153
"365"," Philadelphia Phillies","1923 Philadelphia Phillies",1923,"PHI","PHI",556,155
"366"," Pittsburgh Pirates","1923 Pittsburgh Pirates",1923,"PIT","PIT",362,154
"367"," New York Giants","1923 New York Giants",1923,"NYG","SFG",406,153
"368"," St. Louis Cardinals","1923 St. Louis Cardinals",1923,"STL","STL",446,154
"369"," Boston Braves","1924 Boston Braves",1924,"BSN","ATL",451,154
"370"," St. Louis Browns","1924 St. Louis Browns",1924,"SLB","BAL",350,153
"371"," Boston Red Sox","1924 Boston Red Sox",1924,"BOS","BOS",424,157
"372"," Chicago Cubs","1924 Chicago Cubs",1924,"CHC","CHC",521,154
"373"," Chicago White Sox","1924 Chicago White Sox",1924,"CHW","CHW",417,154
"374"," Cincinnati Reds","1924 Cincinnati Reds",1924,"CIN","CIN",334,153
"375"," Cleveland Indians","1924 Cleveland Indians",1924,"CLE","CLE",363,153
"376"," Detroit Tigers","1924 Detroit Tigers",1924,"DET","DET",395,156
"377"," Brooklyn Robins","1924 Brooklyn Robins",1924,"BRO","LAD",357,154
"378"," Washington Senators","1924 Washington Senators",1924,"WSH","MIN",388,156
"379"," New York Yankees","1924 New York Yankees",1924,"NYY","NYY",418,153
"380"," Philadelphia Athletics","1924 Philadelphia Athletics",1924,"PHA","OAK",480,152
"381"," Philadelphia Phillies","1924 Philadelphia Phillies",1924,"PHI","PHI",452,152
"382"," Pittsburgh Pirates","1924 Pittsburgh Pirates",1924,"PIT","PIT",396,153
"383"," New York Giants","1924 New York Giants",1924,"NYG","SFG",479,154
"384"," St. Louis Cardinals","1924 St. Louis Cardinals",1924,"STL","STL",418,154
"385"," Boston Braves","1925 Boston Braves",1925,"BSN","ATL",380,153
"386"," St. Louis Browns","1925 St. Louis Browns",1925,"SLB","BAL",373,154
"387"," Boston Red Sox","1925 Boston Red Sox",1925,"BOS","BOS",421,152
"388"," Chicago Cubs","1925 Chicago Cubs",1925,"CHC","CHC",470,154
"389"," Chicago White Sox","1925 Chicago White Sox",1925,"CHW","CHW",405,154
"390"," Cincinnati Reds","1925 Cincinnati Reds",1925,"CIN","CIN",327,153
"391"," Cleveland Indians","1925 Cleveland Indians",1925,"CLE","CLE",379,155
"392"," Detroit Tigers","1925 Detroit Tigers",1925,"DET","DET",384,156
"393"," Brooklyn Robins","1925 Brooklyn Robins",1925,"BRO","LAD",383,153
"394"," Washington Senators","1925 Washington Senators",1925,"WSH","MIN",420,152
"395"," New York Yankees","1925 New York Yankees",1925,"NYY","NYY",480,156
"396"," Philadelphia Athletics","1925 Philadelphia Athletics",1925,"PHA","OAK",430,153
"397"," Philadelphia Phillies","1925 Philadelphia Phillies",1925,"PHI","PHI",542,153
"398"," Pittsburgh Pirates","1925 Pittsburgh Pirates",1925,"PIT","PIT",363,153
"399"," New York Giants","1925 New York Giants",1925,"NYG","SFG",494,152
"400"," St. Louis Cardinals","1925 St. Louis Cardinals",1925,"STL","STL",414,153
"401"," Boston Braves","1926 Boston Braves",1926,"BSN","ATL",348,153
"402"," St. Louis Browns","1926 St. Louis Browns",1926,"SLB","BAL",460,155
"403"," Boston Red Sox","1926 Boston Red Sox",1926,"BOS","BOS",441,154
"404"," Chicago Cubs","1926 Chicago Cubs",1926,"CHC","CHC",447,155
"405"," Chicago White Sox","1926 Chicago White Sox",1926,"CHW","CHW",378,155
"406"," Cincinnati Reds","1926 Cincinnati Reds",1926,"CIN","CIN",333,157
"407"," Cleveland Indians","1926 Cleveland Indians",1926,"CLE","CLE",321,154
"408"," Detroit Tigers","1926 Detroit Tigers",1926,"DET","DET",423,157
"409"," Brooklyn Robins","1926 Brooklyn Robins",1926,"BRO","LAD",464,155
"410"," Washington Senators","1926 Washington Senators",1926,"WSH","MIN",363,152
"411"," New York Yankees","1926 New York Yankees",1926,"NYY","NYY",580,155
"412"," Philadelphia Athletics","1926 Philadelphia Athletics",1926,"PHA","OAK",452,150
"413"," Philadelphia Phillies","1926 Philadelphia Phillies",1926,"PHI","PHI",479,152
"414"," Pittsburgh Pirates","1926 Pittsburgh Pirates",1926,"PIT","PIT",350,157
"415"," New York Giants","1926 New York Giants",1926,"NYG","SFG",420,151
"416"," St. Louis Cardinals","1926 St. Louis Cardinals",1926,"STL","STL",518,156
"417"," Boston Braves","1927 Boston Braves",1927,"BSN","ATL",363,155
"418"," St. Louis Browns","1927 St. Louis Browns",1927,"SLB","BAL",417,155
"419"," Boston Red Sox","1927 Boston Red Sox",1927,"BOS","BOS",476,154
"420"," Chicago Cubs","1927 Chicago Cubs",1927,"CHC","CHC",492,153
"421"," Chicago White Sox","1927 Chicago White Sox",1927,"CHW","CHW",407,153
"422"," Cincinnati Reds","1927 Cincinnati Reds",1927,"CIN","CIN",332,153
"423"," Cleveland Indians","1927 Cleveland Indians",1927,"CLE","CLE",370,153
"424"," Detroit Tigers","1927 Detroit Tigers",1927,"DET","DET",420,156
"425"," Brooklyn Robins","1927 Brooklyn Robins",1927,"BRO","LAD",494,154
"426"," Washington Senators","1927 Washington Senators",1927,"WSH","MIN",373,157
"427"," New York Yankees","1927 New York Yankees",1927,"NYY","NYY",610,155
"428"," Philadelphia Athletics","1927 Philadelphia Athletics",1927,"PHA","OAK",325,155
"429"," Philadelphia Phillies","1927 Philadelphia Phillies",1927,"PHI","PHI",482,155
"430"," Pittsburgh Pirates","1927 Pittsburgh Pirates",1927,"PIT","PIT",355,156
"431"," New York Giants","1927 New York Giants",1927,"NYG","SFG",462,155
"432"," St. Louis Cardinals","1927 St. Louis Cardinals",1927,"STL","STL",511,153
"433"," Boston Braves","1928 Boston Braves",1928,"BSN","ATL",377,153
"434"," St. Louis Browns","1928 St. Louis Browns",1928,"SLB","BAL",474,154
"435"," Boston Red Sox","1928 Boston Red Sox",1928,"BOS","BOS",514,154
"436"," Chicago Cubs","1928 Chicago Cubs",1928,"CHC","CHC",517,154
"437"," Chicago White Sox","1928 Chicago White Sox",1928,"CHW","CHW",485,155
"438"," Cincinnati Reds","1928 Cincinnati Reds",1928,"CIN","CIN",330,153
"439"," Cleveland Indians","1928 Cleveland Indians",1928,"CLE","CLE",410,155
"440"," Detroit Tigers","1928 Detroit Tigers",1928,"DET","DET",433,154
"441"," Brooklyn Robins","1928 Brooklyn Robins",1928,"BRO","LAD",510,155
"442"," Washington Senators","1928 Washington Senators",1928,"WSH","MIN",385,155
"443"," New York Yankees","1928 New York Yankees",1928,"NYY","NYY",553,154
"444"," Philadelphia Athletics","1928 Philadelphia Athletics",1928,"PHA","OAK",435,153
"445"," Philadelphia Phillies","1928 Philadelphia Phillies",1928,"PHI","PHI",510,152
"446"," Pittsburgh Pirates","1928 Pittsburgh Pirates",1928,"PIT","PIT",352,152
"447"," New York Giants","1928 New York Giants",1928,"NYG","SFG",376,155
"448"," St. Louis Cardinals","1928 St. Louis Cardinals",1928,"STL","STL",438,154
"449"," Boston Braves","1929 Boston Braves",1929,"BSN","ATL",432,154
"450"," St. Louis Browns","1929 St. Louis Browns",1929,"SLB","BAL",423,154
"451"," Boston Red Sox","1929 Boston Red Sox",1929,"BOS","BOS",494,155
"452"," Chicago Cubs","1929 Chicago Cubs",1929,"CHC","CHC",567,156
"453"," Chicago White Sox","1929 Chicago White Sox",1929,"CHW","CHW",420,152
"454"," Cincinnati Reds","1929 Cincinnati Reds",1929,"CIN","CIN",347,155
"455"," Cleveland Indians","1929 Cleveland Indians",1929,"CLE","CLE",348,152
"456"," Detroit Tigers","1929 Detroit Tigers",1929,"DET","DET",493,155
"457"," Brooklyn Robins","1929 Brooklyn Robins",1929,"BRO","LAD",454,153
"458"," Washington Senators","1929 Washington Senators",1929,"WSH","MIN",397,153
"459"," New York Yankees","1929 New York Yankees",1929,"NYY","NYY",502,154
"460"," Philadelphia Athletics","1929 Philadelphia Athletics",1929,"PHA","OAK",440,151
"461"," Philadelphia Phillies","1929 Philadelphia Phillies",1929,"PHI","PHI",470,154
"462"," Pittsburgh Pirates","1929 Pittsburgh Pirates",1929,"PIT","PIT",335,154
"463"," New York Giants","1929 New York Giants",1929,"NYG","SFG",405,152
"464"," St. Louis Cardinals","1929 St. Louis Cardinals",1929,"STL","STL",455,154
"465"," Boston Braves","1930 Boston Braves",1930,"BSN","ATL",397,154
"466"," St. Louis Browns","1930 St. Louis Browns",1930,"SLB","BAL",547,154
"467"," Boston Red Sox","1930 Boston Red Sox",1930,"BOS","BOS",556,154
"468"," Chicago Cubs","1930 Chicago Cubs",1930,"CHC","CHC",635,156
"469"," Chicago White Sox","1930 Chicago White Sox",1930,"CHW","CHW",478,154
"470"," Cincinnati Reds","1930 Cincinnati Reds",1930,"CIN","CIN",489,154
"471"," Cleveland Indians","1930 Cleveland Indians",1930,"CLE","CLE",460,154
"472"," Detroit Tigers","1930 Detroit Tigers",1930,"DET","DET",507,154
"473"," Brooklyn Robins","1930 Brooklyn Robins",1930,"BRO","LAD",541,154
"474"," Washington Senators","1930 Washington Senators",1930,"WSH","MIN",438,154
"475"," New York Yankees","1930 New York Yankees",1930,"NYY","NYY",569,154
"476"," Philadelphia Athletics","1930 Philadelphia Athletics",1930,"PHA","OAK",531,154
"477"," Philadelphia Phillies","1930 Philadelphia Phillies",1930,"PHI","PHI",459,156
"478"," Pittsburgh Pirates","1930 Pittsburgh Pirates",1930,"PIT","PIT",449,154
"479"," New York Giants","1930 New York Giants",1930,"NYG","SFG",382,154
"480"," St. Louis Cardinals","1930 St. Louis Cardinals",1930,"STL","STL",496,154
"481"," Boston Braves","1931 Boston Braves",1931,"BSN","ATL",430,156
"482"," St. Louis Browns","1931 St. Louis Browns",1931,"SLB","BAL",578,154
"483"," Boston Red Sox","1931 Boston Red Sox",1931,"BOS","BOS",565,153
"484"," Chicago Cubs","1931 Chicago Cubs",1931,"CHC","CHC",641,156
"485"," Chicago White Sox","1931 Chicago White Sox",1931,"CHW","CHW",440,156
"486"," Cincinnati Reds","1931 Cincinnati Reds",1931,"CIN","CIN",463,154
"487"," Cleveland Indians","1931 Cleveland Indians",1931,"CLE","CLE",430,155
"488"," Detroit Tigers","1931 Detroit Tigers",1931,"DET","DET",466,154
"489"," Brooklyn Robins","1931 Brooklyn Robins",1931,"BRO","LAD",512,153
"490"," Washington Senators","1931 Washington Senators",1931,"WSH","MIN",456,156
"491"," New York Yankees","1931 New York Yankees",1931,"NYY","NYY",554,155
"492"," Philadelphia Athletics","1931 Philadelphia Athletics",1931,"PHA","OAK",543,153
"493"," Philadelphia Phillies","1931 Philadelphia Phillies",1931,"PHI","PHI",492,155
"494"," Pittsburgh Pirates","1931 Pittsburgh Pirates",1931,"PIT","PIT",454,155
"495"," New York Giants","1931 New York Giants",1931,"NYG","SFG",395,153
"496"," St. Louis Cardinals","1931 St. Louis Cardinals",1931,"STL","STL",475,154
"497"," Boston Braves","1932 Boston Braves",1932,"BSN","ATL",496,155
"498"," St. Louis Browns","1932 St. Louis Browns",1932,"SLB","BAL",528,154
"499"," Boston Red Sox","1932 Boston Red Sox",1932,"BOS","BOS",537,154
"500"," Chicago Cubs","1932 Chicago Cubs",1932,"CHC","CHC",514,154
"501"," Chicago White Sox","1932 Chicago White Sox",1932,"CHW","CHW",384,152
"502"," Cincinnati Reds","1932 Cincinnati Reds",1932,"CIN","CIN",436,155
"503"," Cleveland Indians","1932 Cleveland Indians",1932,"CLE","CLE",454,153
"504"," Detroit Tigers","1932 Detroit Tigers",1932,"DET","DET",521,153
"505"," Brooklyn Dodgers","1932 Brooklyn Dodgers",1932,"BRO","LAD",574,154
"506"," Washington Senators","1932 Washington Senators",1932,"WSH","MIN",442,154
"507"," New York Yankees","1932 New York Yankees",1932,"NYY","NYY",526,156
"508"," Philadelphia Athletics","1932 Philadelphia Athletics",1932,"PHA","OAK",629,154
"509"," Philadelphia Phillies","1932 Philadelphia Phillies",1932,"PHI","PHI",547,154
"510"," Pittsburgh Pirates","1932 Pittsburgh Pirates",1932,"PIT","PIT",385,154
"511"," New York Giants","1932 New York Giants",1932,"NYG","SFG",391,154
"512"," St. Louis Cardinals","1932 St. Louis Cardinals",1932,"STL","STL",514,156
"513"," Boston Braves","1933 Boston Braves",1933,"BSN","ATL",428,156
"514"," St. Louis Browns","1933 St. Louis Browns",1933,"SLB","BAL",555,153
"515"," Boston Red Sox","1933 Boston Red Sox",1933,"BOS","BOS",465,149
"516"," Chicago Cubs","1933 Chicago Cubs",1933,"CHC","CHC",475,154
"517"," Chicago White Sox","1933 Chicago White Sox",1933,"CHW","CHW",419,151
"518"," Cincinnati Reds","1933 Cincinnati Reds",1933,"CIN","CIN",354,153
"519"," Cleveland Indians","1933 Cleveland Indians",1933,"CLE","CLE",427,151
"520"," Detroit Tigers","1933 Detroit Tigers",1933,"DET","DET",527,155
"521"," Brooklyn Dodgers","1933 Brooklyn Dodgers",1933,"BRO","LAD",453,157
"522"," Washington Senators","1933 Washington Senators",1933,"WSH","MIN",396,153
"523"," New York Yankees","1933 New York Yankees",1933,"NYY","NYY",507,152
"524"," Philadelphia Athletics","1933 Philadelphia Athletics",1933,"PHA","OAK",620,152
"525"," Philadelphia Phillies","1933 Philadelphia Phillies",1933,"PHI","PHI",479,152
"526"," Pittsburgh Pirates","1933 Pittsburgh Pirates",1933,"PIT","PIT",334,154
"527"," New York Giants","1933 New York Giants",1933,"NYG","SFG",477,156
"528"," St. Louis Cardinals","1933 St. Louis Cardinals",1933,"STL","STL",528,154
"529"," Boston Braves","1934 Boston Braves",1934,"BSN","ATL",440,152
"530"," St. Louis Browns","1934 St. Louis Browns",1934,"SLB","BAL",630,154
"531"," Boston Red Sox","1934 Boston Red Sox",1934,"BOS","BOS",535,153
"532"," Chicago Cubs","1934 Chicago Cubs",1934,"CHC","CHC",630,152
"533"," Chicago White Sox","1934 Chicago White Sox",1934,"CHW","CHW",523,153
"534"," Cincinnati Reds","1934 Cincinnati Reds",1934,"CIN","CIN",532,152
"535"," Cleveland Indians","1934 Cleveland Indians",1934,"CLE","CLE",434,154
"536"," Detroit Tigers","1934 Detroit Tigers",1934,"DET","DET",526,154
"537"," Brooklyn Dodgers","1934 Brooklyn Dodgers",1934,"BRO","LAD",555,153
"538"," Washington Senators","1934 Washington Senators",1934,"WSH","MIN",447,155
"539"," New York Yankees","1934 New York Yankees",1934,"NYY","NYY",602,154
"540"," Philadelphia Athletics","1934 Philadelphia Athletics",1934,"PHA","OAK",585,153
"541"," Philadelphia Phillies","1934 Philadelphia Phillies",1934,"PHI","PHI",534,149
"542"," Pittsburgh Pirates","1934 Pittsburgh Pirates",1934,"PIT","PIT",398,151
"543"," New York Giants","1934 New York Giants",1934,"NYG","SFG",526,153
"544"," St. Louis Cardinals","1934 St. Louis Cardinals",1934,"STL","STL",535,154
"545"," Boston Braves","1935 Boston Braves",1935,"BSN","ATL",436,153
"546"," St. Louis Browns","1935 St. Louis Browns",1935,"SLB","BAL",558,155
"547"," Boston Red Sox","1935 Boston Red Sox",1935,"BOS","BOS",470,154
"548"," Chicago Cubs","1935 Chicago Cubs",1935,"CHC","CHC",471,154
"549"," Chicago White Sox","1935 Chicago White Sox",1935,"CHW","CHW",405,153
"550"," Cincinnati Reds","1935 Cincinnati Reds",1935,"CIN","CIN",547,154
"551"," Cleveland Indians","1935 Cleveland Indians",1935,"CLE","CLE",567,156
"552"," Detroit Tigers","1935 Detroit Tigers",1935,"DET","DET",453,152
"553"," Brooklyn Dodgers","1935 Brooklyn Dodgers",1935,"BRO","LAD",520,154
"554"," Washington Senators","1935 Washington Senators",1935,"WSH","MIN",407,154
"555"," New York Yankees","1935 New York Yankees",1935,"NYY","NYY",469,149
"556"," Philadelphia Athletics","1935 Philadelphia Athletics",1935,"PHA","OAK",603,149
"557"," Philadelphia Phillies","1935 Philadelphia Phillies",1935,"PHI","PHI",661,156
"558"," Pittsburgh Pirates","1935 Pittsburgh Pirates",1935,"PIT","PIT",437,153
"559"," New York Giants","1935 New York Giants",1935,"NYG","SFG",479,156
"560"," St. Louis Cardinals","1935 St. Louis Cardinals",1935,"STL","STL",521,154
"561"," Boston Bees","1936 Boston Bees",1936,"BSN","ATL",582,157
"562"," St. Louis Browns","1936 St. Louis Browns",1936,"SLB","BAL",630,155
"563"," Boston Red Sox","1936 Boston Red Sox",1936,"BOS","BOS",465,155
"564"," Chicago Cubs","1936 Chicago Cubs",1936,"CHC","CHC",462,154
"565"," Chicago White Sox","1936 Chicago White Sox",1936,"CHW","CHW",419,153
"566"," Cincinnati Reds","1936 Cincinnati Reds",1936,"CIN","CIN",584,154
"567"," Cleveland Indians","1936 Cleveland Indians",1936,"CLE","CLE",470,157
"568"," Detroit Tigers","1936 Detroit Tigers",1936,"DET","DET",462,154
"569"," Brooklyn Dodgers","1936 Brooklyn Dodgers",1936,"BRO","LAD",458,156
"570"," Washington Senators","1936 Washington Senators",1936,"WSH","MIN",401,153
"571"," New York Yankees","1936 New York Yankees",1936,"NYY","NYY",593,155
"572"," Philadelphia Athletics","1936 Philadelphia Athletics",1936,"PHA","OAK",592,154
"573"," Philadelphia Phillies","1936 Philadelphia Phillies",1936,"PHI","PHI",586,154
"574"," Pittsburgh Pirates","1936 Pittsburgh Pirates",1936,"PIT","PIT",502,156
"575"," New York Giants","1936 New York Giants",1936,"NYG","SFG",452,154
"576"," St. Louis Cardinals","1936 St. Louis Cardinals",1936,"STL","STL",577,155
"577"," Boston Bees","1937 Boston Bees",1937,"BSN","ATL",707,152
"578"," St. Louis Browns","1937 St. Louis Browns",1937,"SLB","BAL",510,156
"579"," Boston Red Sox","1937 Boston Red Sox",1937,"BOS","BOS",557,154
"580"," Chicago Cubs","1937 Chicago Cubs",1937,"CHC","CHC",496,154
"581"," Chicago White Sox","1937 Chicago White Sox",1937,"CHW","CHW",447,154
"582"," Cincinnati Reds","1937 Cincinnati Reds",1937,"CIN","CIN",586,155
"583"," Cleveland Indians","1937 Cleveland Indians",1937,"CLE","CLE",552,156
"584"," Detroit Tigers","1937 Detroit Tigers",1937,"DET","DET",712,155
"585"," Brooklyn Dodgers","1937 Brooklyn Dodgers",1937,"BRO","LAD",583,155
"586"," Washington Senators","1937 Washington Senators",1937,"WSH","MIN",506,158
"587"," New York Yankees","1937 New York Yankees",1937,"NYY","NYY",607,157
"588"," Philadelphia Athletics","1937 Philadelphia Athletics",1937,"PHA","OAK",557,154
"589"," Philadelphia Phillies","1937 Philadelphia Phillies",1937,"PHI","PHI",640,155
"590"," Pittsburgh Pirates","1937 Pittsburgh Pirates",1937,"PIT","PIT",480,154
"591"," New York Giants","1937 New York Giants",1937,"NYG","SFG",492,152
"592"," St. Louis Cardinals","1937 St. Louis Cardinals",1937,"STL","STL",569,157
"593"," Boston Bees","1938 Boston Bees",1938,"BSN","ATL",548,153
"594"," St. Louis Browns","1938 St. Louis Browns",1938,"SLB","BAL",525,156
"595"," Boston Red Sox","1938 Boston Red Sox",1938,"BOS","BOS",462,150
"596"," Chicago Cubs","1938 Chicago Cubs",1938,"CHC","CHC",476,154
"597"," Chicago White Sox","1938 Chicago White Sox",1938,"CHW","CHW",489,149
"598"," Cincinnati Reds","1938 Cincinnati Reds",1938,"CIN","CIN",518,151
"599"," Cleveland Indians","1938 Cleveland Indians",1938,"CLE","CLE",606,153
"600"," Detroit Tigers","1938 Detroit Tigers",1938,"DET","DET",579,155
"601"," Brooklyn Dodgers","1938 Brooklyn Dodgers",1938,"BRO","LAD",615,151
"602"," Washington Senators","1938 Washington Senators",1938,"WSH","MIN",374,152
"603"," New York Yankees","1938 New York Yankees",1938,"NYY","NYY",617,157
"604"," Philadelphia Athletics","1938 Philadelphia Athletics",1938,"PHA","OAK",590,154
"605"," Philadelphia Phillies","1938 Philadelphia Phillies",1938,"PHI","PHI",507,151
"606"," Pittsburgh Pirates","1938 Pittsburgh Pirates",1938,"PIT","PIT",409,152
"607"," New York Giants","1938 New York Giants",1938,"NYG","SFG",528,152
"608"," St. Louis Cardinals","1938 St. Louis Cardinals",1938,"STL","STL",492,156
"609"," Boston Bees","1939 Boston Bees",1939,"BSN","ATL",494,152
"610"," St. Louis Browns","1939 St. Louis Browns",1939,"SLB","BAL",606,156
"611"," Boston Red Sox","1939 Boston Red Sox",1939,"BOS","BOS",502,152
"612"," Chicago Cubs","1939 Chicago Cubs",1939,"CHC","CHC",553,156
"613"," Chicago White Sox","1939 Chicago White Sox",1939,"CHW","CHW",502,155
"614"," Cincinnati Reds","1939 Cincinnati Reds",1939,"CIN","CIN",538,156
"615"," Cleveland Indians","1939 Cleveland Indians",1939,"CLE","CLE",571,154
"616"," Detroit Tigers","1939 Detroit Tigers",1939,"DET","DET",593,155
"617"," Brooklyn Dodgers","1939 Brooklyn Dodgers",1939,"BRO","LAD",639,157
"618"," Washington Senators","1939 Washington Senators",1939,"WSH","MIN",458,153
"619"," New York Yankees","1939 New York Yankees",1939,"NYY","NYY",543,152
"620"," Philadelphia Athletics","1939 Philadelphia Athletics",1939,"PHA","OAK",531,153
"621"," Philadelphia Phillies","1939 Philadelphia Phillies",1939,"PHI","PHI",486,152
"622"," Pittsburgh Pirates","1939 Pittsburgh Pirates",1939,"PIT","PIT",420,153
"623"," New York Giants","1939 New York Giants",1939,"NYG","SFG",499,151
"624"," St. Louis Cardinals","1939 St. Louis Cardinals",1939,"STL","STL",566,155
"625"," Boston Bees","1940 Boston Bees",1940,"BSN","ATL",581,152
"626"," St. Louis Browns","1940 St. Louis Browns",1940,"SLB","BAL",638,156
"627"," Boston Red Sox","1940 Boston Red Sox",1940,"BOS","BOS",597,154
"628"," Chicago Cubs","1940 Chicago Cubs",1940,"CHC","CHC",566,154
"629"," Chicago White Sox","1940 Chicago White Sox",1940,"CHW","CHW",569,155
"630"," Cincinnati Reds","1940 Cincinnati Reds",1940,"CIN","CIN",503,155
"631"," Cleveland Indians","1940 Cleveland Indians",1940,"CLE","CLE",598,155
"632"," Detroit Tigers","1940 Detroit Tigers",1940,"DET","DET",554,155
"633"," Brooklyn Dodgers","1940 Brooklyn Dodgers",1940,"BRO","LAD",570,156
"634"," Washington Senators","1940 Washington Senators",1940,"WSH","MIN",504,154
"635"," New York Yankees","1940 New York Yankees",1940,"NYY","NYY",605,155
"636"," Philadelphia Athletics","1940 Philadelphia Athletics",1940,"PHA","OAK",655,154
"637"," Philadelphia Phillies","1940 Philadelphia Phillies",1940,"PHI","PHI",527,153
"638"," Pittsburgh Pirates","1940 Pittsburgh Pirates",1940,"PIT","PIT",494,156
"639"," New York Giants","1940 New York Giants",1940,"NYG","SFG",478,152
"640"," St. Louis Cardinals","1940 St. Louis Cardinals",1940,"STL","STL",610,156
"641"," Boston Braves","1941 Boston Braves",1941,"BSN","ATL",604,156
"642"," St. Louis Browns","1941 St. Louis Browns",1941,"SLB","BAL",552,157
"643"," Boston Red Sox","1941 Boston Red Sox",1941,"BOS","BOS",566,155
"644"," Chicago Cubs","1941 Chicago Cubs",1941,"CHC","CHC",668,155
"645"," Chicago White Sox","1941 Chicago White Sox",1941,"CHW","CHW",476,156
"646"," Cincinnati Reds","1941 Cincinnati Reds",1941,"CIN","CIN",429,154
"647"," Cleveland Indians","1941 Cleveland Indians",1941,"CLE","CLE",603,155
"648"," Detroit Tigers","1941 Detroit Tigers",1941,"DET","DET",583,155
"649"," Brooklyn Dodgers","1941 Brooklyn Dodgers",1941,"BRO","LAD",535,157
"650"," Washington Senators","1941 Washington Senators",1941,"WSH","MIN",488,156
"651"," New York Yankees","1941 New York Yankees",1941,"NYY","NYY",564,156
"652"," Philadelphia Athletics","1941 Philadelphia Athletics",1941,"PHA","OAK",588,154
"653"," Philadelphia Phillies","1941 Philadelphia Phillies",1941,"PHI","PHI",595,155
"654"," Pittsburgh Pirates","1941 Pittsburgh Pirates",1941,"PIT","PIT",516,156
"655"," New York Giants","1941 New York Giants",1941,"NYG","SFG",518,156
"656"," St. Louis Cardinals","1941 St. Louis Cardinals",1941,"STL","STL",543,155
"657"," Boston Braves","1942 Boston Braves",1942,"BSN","ATL",509,150
"658"," St. Louis Browns","1942 St. Louis Browns",1942,"SLB","BAL",608,151
"659"," Boston Red Sox","1942 Boston Red Sox",1942,"BOS","BOS",508,152
"660"," Chicago Cubs","1942 Chicago Cubs",1942,"CHC","CHC",606,155
"661"," Chicago White Sox","1942 Chicago White Sox",1942,"CHW","CHW",425,148
"662"," Cincinnati Reds","1942 Cincinnati Reds",1942,"CIN","CIN",549,154
"663"," Cleveland Indians","1942 Cleveland Indians",1942,"CLE","CLE",544,156
"664"," Detroit Tigers","1942 Detroit Tigers",1942,"DET","DET",472,156
"665"," Brooklyn Dodgers","1942 Brooklyn Dodgers",1942,"BRO","LAD",485,155
"666"," Washington Senators","1942 Washington Senators",1942,"WSH","MIN",536,151
"667"," New York Yankees","1942 New York Yankees",1942,"NYY","NYY",556,154
"668"," Philadelphia Athletics","1942 Philadelphia Athletics",1942,"PHA","OAK",489,154
"669"," Philadelphia Phillies","1942 Philadelphia Phillies",1942,"PHI","PHI",487,151
"670"," Pittsburgh Pirates","1942 Pittsburgh Pirates",1942,"PIT","PIT",539,151
"671"," New York Giants","1942 New York Giants",1942,"NYG","SFG",507,154
"672"," St. Louis Cardinals","1942 St. Louis Cardinals",1942,"STL","STL",505,156
"673"," Boston Braves","1943 Boston Braves",1943,"BSN","ATL",602,153
"674"," St. Louis Browns","1943 St. Louis Browns",1943,"SLB","BAL",645,153
"675"," Boston Red Sox","1943 Boston Red Sox",1943,"BOS","BOS",591,155
"676"," Chicago Cubs","1943 Chicago Cubs",1943,"CHC","CHC",530,154
"677"," Chicago White Sox","1943 Chicago White Sox",1943,"CHW","CHW",582,155
